solarradiation,humidity,month,hour,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",holiday,Domingo,Quarta,Quinta,Segunda,Sexta,Sábado,Terça,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo,Total Consumption (Portugal),Portugal,Active Energy (MWh) - Porto
0.0,99.97,11,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,222.17009610910625,259.11044389909387,0.0,268.7973850182934,0.0,1298.0094938674256,194.7339169643711,0.0,20.73452176667253,1429.2807462668097,0.0,180.82290089172596,0.0,0.0,17243.3,17243.3,140.0,3187.3827713402675
0.0,99.86,11,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,150.86852321705214,267.7007501746105,0.0,267.0712005421258,0.0,1178.8418408538757,194.8963813856575,0.0,20.287744608135025,1509.0507771184157,0.0,197.41457991559616,0.0,0.0,16634.8,16634.8,125.4,2978.340638003455
0.0,99.82,11,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,140.32864388609912,262.9892819573059,0.0,262.52219674610757,0.0,1236.6791748318224,195.42439075483816,0.0,20.125280186848656,1622.1463223863877,0.0,431.20088214667766,0.0,0.0,16228.2,16228.2,100.53,2853.8017892022767
0.0,99.94,11,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,288.1103430987103,259.33383247836264,0.0,261.6895665870149,0.0,1427.4936376326598,195.30254243887342,0.0,20.023739923544678,1364.924527384748,0.0,536.8027559828159,0.0,0.0,16105.1,16105.1,100.43,2798.3218290691498
0.0,99.93,11,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,402.1400587890788,211.12251546163333,0.0,262.3597323248212,0.0,1422.4572405727822,196.23671286127,0.0,19.02864534316568,1254.814265857913,0.0,479.3309669527638,0.0,0.0,16152.5,16152.5,98.0,2775.602556117713
0.0,100.0,11,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,306.1032777561754,221.23592568670963,0.02030805266079582,260.5523156380104,0.0,1314.2559359960624,194.61206864840634,0.0,18.053858815447484,1363.909124751708,0.0,364.93570631450086,0.0,0.0,16276.3,16276.3,93.7,2803.544126702093
0.0,93.4,11,7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,162.03795218048984,238.82269929095884,42.60629448234963,268.6552286496679,0.0,1540.4876426373278,182.02107599871292,0.0,20.287744608135025,1428.9152013189155,0.0,511.2958418408563,0.0,0.0,16561.4,16561.4,93.7,2928.843148992547
16.2,93.46,11,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,159.7837583351415,223.10426653150284,230.65886212131892,281.95700314248916,0.0,1765.9882593828045,181.47275857687143,0.0,21.52653582044357,1545.7474282764738,0.0,774.6506687460566,0.0,0.0,17851.2,17851.2,93.1,3203.769422817069
106.6,93.48,11,9,0,0,1,0,0,0,1,0,0,0,0,0,0,1,160.9007012314853,195.09946191226544,414.64981922812905,283.2567185127801,0.0,1732.8455174403855,178.7920956256464,0.0,20.937602293280488,1889.359679297139,0.0,1046.941038822007,0.0,0.0,18796.1,18796.1,93.7,3462.3749900576304
276.0,88.28,11,10,0,0,1,0,0,0,1,0,0,0,0,0,0,1,160.55546433625176,176.09112462176054,521.4092520659327,279.784041507784,0.0,1717.4926296288243,177.837617150589,0.0,20.63298150336855,2180.272533663039,0.0,1294.6180490730726,0.0,0.0,19337.1,19337.1,95.92,3637.977925819189
406.9,78.76,11,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,163.90629302528308,194.44960422711998,580.4650692035269,281.97731119515,0.0,1710.1817306709374,175.3194186206503,0.0,20.693905661350943,2442.063640513358,0.0,1471.0747186427277,0.0,0.0,20118.3,20118.3,89.74,3827.791355898519
491.1,64.58,11,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1,157.16401954189885,208.766781352981,605.3018176076803,282.870865512225,0.0,1718.7923449991151,175.96927630579577,0.0,20.714213714011734,2572.6850352275965,0.0,1478.7511625485085,0.0,0.0,20930.4,20930.4,82.0,3981.921555676097
504.0,60.08,11,13,0,0,1,0,0,0,1,0,0,0,0,0,0,1,159.60098586119435,219.67220563182838,579.5105907284695,285.6733767794148,0.0,1679.719651679744,175.62403941056223,0.0,20.775137871994126,2341.802784527009,0.0,1339.0317602422333,0.0,0.0,20241.6,20241.6,85.91,3818.0158778407376
468.6,59.57,11,14,0,0,1,0,0,0,1,0,0,0,0,0,0,1,154.4427404853522,264.26868927493604,508.87918357422166,292.67965494738934,0.0,1759.6521469526365,178.00008157187537,0.0,19.881583554919107,2101.7006779184203,0.0,1297.1362476030115,0.0,0.0,19545.2,19545.2,80.88,3655.8349266684886
340.2,65.45,11,15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,155.25506259178405,357.40141877734567,385.8733086077813,290.8722382605785,0.0,1848.0327921324197,194.8760733329967,0.0,19.658194975650353,1438.3584458061857,0.0,796.0147401452138,0.0,0.0,19129.199999999997,19129.199999999997,81.1,3564.5743184771486
233.6,62.75,11,16,0,0,1,0,0,0,1,0,0,0,0,0,0,1,234.41585186356613,398.9516945213339,163.03304676086884,292.82181131601493,0.0,2056.2309480108984,204.09592924099798,0.0,20.226820450152633,988.2913827376285,0.0,414.69043533345064,0.0,0.0,19384.7,19384.7,85.0,3576.3566726877743
106.2,71.48,11,17,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1098.1173315272124,406.993683375009,11.210045068759293,291.58302010370636,0.0,2046.1581538911437,206.08611840175595,0.0,20.754829819333324,312.96739955552437,0.0,179.52318552143504,0.0,0.0,20728.1,20728.1,96.39,3756.845044210612
8.1,80.09,11,18,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1751.9350869415337,546.5100051546763,0.0,292.96396768464047,0.0,2090.7546375342513,198.2472100746888,0.0,20.247128502813432,7.290590905225699,69.06768709936658,179.3201049948271,0.0,0.0,22921.1,22921.1,121.73,4029.7931869734
0.0,93.61,11,19,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1932.859528096564,667.2616862757682,0.0,290.05991615414666,0.0,2036.653985245891,180.80259283906517,0.0,19.150493659130458,0.0,429.67777819711796,20.612673450707756,0.0,0.0,23008.7,23008.7,133.79,4036.7369093009665
0.0,93.67,11,20,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1523.9975038767614,695.9975807907942,0.04061610532159164,288.71958467853415,0.0,2037.6287717736095,183.30048331634308,0.0,15.332579758900843,0.0,168.1303679787286,0.0,0.0,0.0,22517.5,22517.5,136.0,3982.8821958367994
0.0,93.67,11,21,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1105.1439177478476,658.1839867363925,0.0,285.1453674102341,0.0,2067.7659219222305,184.0924973701141,0.0,13.707935546037179,334.4127031653248,0.0,279.56065292851525,0.0,0.0,21485.3,21485.3,178.59,3823.145287567461
0.0,87.6,11,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,531.6445106069738,615.0902989901838,0.0,277.34707518848853,0.0,2051.5194797935937,183.84880073818454,0.0,11.433433648028046,787.3025855537323,0.0,352.95395524463135,0.0,0.0,20190.9,20190.9,180.0,3565.4957038461216
0.0,93.55,11,23,1,0,0,0,0,0,1,0,0,0,0,0,0,1,202.59313334409907,578.1093350948746,0.0,277.71262013638284,0.0,1983.5281194852494,184.9657436345283,0.0,10.519571278292235,552.2774921103423,0.0,13.6063952827332,0.0,0.0,18555.7,18555.7,139.49,3224.1178953282183
0.0,93.55,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,144.63395105018785,509.8133539966183,0.0,277.71262013638284,0.0,2007.9790148888476,200.88725692059225,0.0,8.001372748353553,696.0585049487767,0.0,403.03361310615384,0.0,0.0,16906.9,16906.9,108.6,3028.5157643048524
0.0,93.5,11,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,144.41056247091907,546.9770903658746,0.0,279.784041507784,0.0,1891.248328194593,200.78571665728828,0.0,8.102913011657531,686.5137201982027,0.0,406.790602848401,0.0,0.0,16462.2,16462.2,105.64,2992.706644268666
0.0,93.57,11,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,142.8062263107162,472.4871532060755,0.0,280.7385199828414,0.0,1988.4020521238403,201.6183468163809,0.0,8.854310960106977,672.968249073452,0.0,443.16232516388635,0.0,0.0,16328.800000000001,16328.800000000001,101.04,3011.8040551122313
0.0,93.5,11,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,142.05482836226676,389.08198092818714,0.0,282.5865527749738,0.0,2170.1185073326415,202.83682997602864,0.0,8.976159276071753,440.46135416000055,0.0,317.17116645630915,0.0,0.0,16309.2,16309.2,101.01,3030.5581490523014
0.0,93.41,11,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,165.65278555411152,324.0759043609797,0.0,281.3680696153261,0.0,2286.118104131107,212.8080838324794,0.0,8.854310960106977,382.725560445358,0.0,249.6062752538414,0.0,0.0,16767.4,16767.4,101.04,3154.262379555885
